baseline_mean,baseline_trimmed,corrected_mean,corrected_trimmed,loss,loss_lmk,loss_percept,loss_res,loss_teacher_cam,loss_teacher_lmk,step
0.1386347028100863,0.10926606525770492,0.15810250639915466,0.12927744050199788,0.5450993180274963,0.28747794032096863,0.3727223873138428,0.1224241703748703,0.0012471693335101008,0.04855785518884659,0
,,,,0.352618008852005,0.0917741134762764,0.40571433305740356,0.11875806748867035,0.000912529299966991,0.03796950727701187,1
,,,,0.30285415053367615,0.06618742644786835,0.39673399925231934,0.11045261472463608,0.0006106180371716619,0.022406743839383125,2
,,,,0.3767335116863251,0.16710563004016876,0.36938029527664185,0.10343626886606216,0.0004300224536564201,0.011946731247007847,3
,,,,0.42464718222618103,0.22572536766529083,0.3709156811237335,0.09871120750904083,0.00025545115931890905,0.002866314025595784,4
,,,,0.26686081290245056,0.05555613711476326,0.3915727734565735,0.09835930913686752,0.00024381768889725208,0.004613381810486317,5
,,,,0.3623194694519043,0.1343170553445816,0.4164011478424072,0.09203926473855972,0.00027845718432217836,0.008692353963851929,6
,,,,0.4104955494403839,0.18424025177955627,0.41115909814834595,0.08737532049417496,0.00023389546549879014,0.009831549599766731,7
,,,,0.5173591375350952,0.2517167925834656,0.4835168719291687,0.08749597519636154,0.0002594594843685627,0.012482189573347569,8
,,,,0.29515355825424194,0.10511939972639084,0.33248984813690186,0.08264422416687012,0.0002661656471900642,0.012804258614778519,9
,,,,0.2779240608215332,0.04567662253975868,0.41645604372024536,0.07783124595880508,0.00027514301473274827,0.013392677530646324,10
,,,,0.32635119557380676,0.09209936112165451,0.42333710193634033,0.07472435384988785,0.00024157836742233485,0.012471595779061317,11
,,,,0.2631746828556061,0.0690545067191124,0.3586980402469635,0.06976934522390366,0.0001468908740207553,0.006421736441552639,12
,,,,0.3314628303050995,0.12823767960071564,0.3863086402416229,0.06481194496154785,0.00011118709517177194,0.002935756929218769,13
,,,,0.3172979950904846,0.12260092049837112,0.373268187046051,0.06532309204339981,5.156940460437909e-05,0.0012497706338763237,14
,,,,0.28870174288749695,0.0638846829533577,0.4347447454929352,0.06584616750478745,4.753526809508912e-05,0.0006929588271304965,15
,,,,0.27217793464660645,0.08437974005937576,0.3567140996456146,0.06057170405983925,3.6027551686856896e-05,0.002801960101351142,16
,,,,0.3202683925628662,0.08550135046243668,0.4507533311843872,0.05740772932767868,4.427080784807913e-05,0.0030192045960575342,17
,,,,0.48728302121162415,0.25503623485565186,0.4469735324382782,0.05383885279297829,5.465413778438233e-05,0.0027861131820827723,18
,,,,0.3954322636127472,0.18617583811283112,0.4040369391441345,0.053947195410728455,2.795196633087471e-05,0.0015220510540530086,19
,,,,0.2944955825805664,0.08206839114427567,0.4092879891395569,0.05119556561112404,3.444858157308772e-05,0.0022024856880307198,20
