idx,image_path,baseline_lmk_err,finetuned_lmk_err,lmk_err_delta_ft_minus_base,finetuned_cam_score,finetuned_lmk_abs_max,baseline_photo_l1,finetuned_photo_l1,baseline_runtime_ms,finetuned_runtime_ms,landmark_target_source,is_failure,hybrid_selective_fallback
0,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_11_1_neutral_25.jpg,0.039629340171813965,21.695695877075195,21.65606653690338,95.13900992274284,22.756738662719727,0.5376215577125549,0.5376215577125549,nan,nan,real_npy,1,1
1,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_16_6_jaw_right_42.jpg,0.08873479813337326,0.09600904583930969,0.007274247705936432,7.243834264576435,0.6831311583518982,0.44511547684669495,0.44511547684669495,nan,nan,real_npy,0,1
2,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_7_2_smile_1.jpg,0.05356009304523468,0.05157991871237755,-0.001980174332857132,8.282746508717537,0.7087438702583313,0.42115887999534607,0.42115887999534607,nan,nan,real_npy,0,1
3,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_7_2_smile_35.jpg,0.04712561517953873,0.30992361903190613,0.2627980038523674,11.23156919516623,1.0495078563690186,0.4215160310268402,0.4215160310268402,nan,nan,real_npy,0,1
4,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_17_9_mouth_right_9.jpg,0.05628180503845215,0.06093068793416023,0.004648882895708084,8.558251827955246,0.6744886040687561,0.3694095313549042,0.3694095313549042,nan,nan,real_npy,0,1
5,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_4_18_eye_closed_19.jpg,0.04529610276222229,0.046351585537195206,0.0010554827749729156,9.118547523394227,0.7420380711555481,0.2790377140045166,0.2790377140045166,22.025609000024815,21.48014400000875,real_npy,0,1
6,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_8_17_cheek_blowing_52.jpg,0.21303969621658325,0.21230091154575348,-0.000738784670829773,6.3125643618404865,0.6173675060272217,0.37326133251190186,0.37326133251190186,20.65937899999426,20.869973000003483,real_npy,0,0
7,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_19_15_lip_roll_49.jpg,0.7415476441383362,0.5848129391670227,-0.15673470497131348,8.85266619361937,0.7431588172912598,0.37162894010543823,0.37162894010543823,22.911593999992874,23.14654999997856,real_npy,0,1
8,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_7_5_jaw_left_47.jpg,0.06633014976978302,0.0831691324710846,0.016838982701301575,9.480017595924437,0.8201088309288025,0.4808140993118286,0.4808140993118286,20.772050999994462,19.577138999977706,real_npy,0,1
9,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_2_20_brow_lower_7.jpg,0.22607111930847168,0.19840377569198608,-0.027667343616485596,8.746046368032694,0.7068782448768616,0.37762635946273804,0.37762635946273804,22.244740000019192,21.806115000003956,real_npy,0,1
10,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_13_16_grin_2.jpg,0.2161371409893036,0.22270245850086212,0.006565317511558533,6.898596838116646,0.6129036545753479,0.43702012300491333,0.43702012300491333,23.702872999990632,34.51466899997513,real_npy,0,1
11,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_1_10_dimpler_23.jpg,0.041084516793489456,0.03887553885579109,-0.0022089779376983643,8.4886340983212,0.7117559909820557,0.3632708191871643,0.3632708191871643,25.91363000004776,22.49488399996835,real_npy,0,1
12,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_20_13_lip_funneler_46.jpg,0.1270504891872406,0.15925036370754242,0.03219987452030182,7.559457760304213,0.6527705192565918,0.5959072709083557,0.5959072709083557,24.283483000033357,19.567194000046584,real_npy,0,1
13,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_10_19_brow_raiser_7.jpg,0.041759394109249115,0.04433443397283554,0.0025750398635864258,7.7912702932953835,0.674072265625,0.22483651340007782,0.22483651340007782,26.223905999984254,22.58364200002916,real_npy,0,1
14,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_4_18_eye_closed_29.jpg,0.07103997468948364,0.0734768882393837,0.002436913549900055,8.27695882320404,0.6961351633071899,0.33427050709724426,0.33427050709724426,24.687733999996908,23.183806000020013,real_npy,0,1
15,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_19_10_dimpler_6.jpg,0.0546058714389801,0.05347941815853119,-0.0011264532804489136,8.967051154002547,0.7375433444976807,0.28018832206726074,0.28018832206726074,22.386401999995087,20.086025000011887,real_npy,0,1
16,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_7_12_lip_puckerer_40.jpg,0.18340130150318146,0.20616041123867035,0.02275910973548889,7.233681492507458,0.6507875919342041,0.45004504919052124,0.45004504919052124,21.790651000003436,19.6069080000143,real_npy,0,1
17,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_4_7_jaw_forward_36.jpg,0.04510977864265442,0.04732125625014305,0.002211477607488632,7.502639181911945,0.6589902639389038,0.3089570999145508,0.3089570999145508,20.756675000029645,22.478186000000733,real_npy,0,1
