idx,image_path,baseline_lmk_err,residual_lmk_err,delta_residual_minus_base,residual_cam_score,residual_lmk_abs_max
26,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_19_8_mouth_left_22.jpg,0.06424348056316376,0.05192342400550842,-0.012320056557655334,9.68792539741844,0.8217657208442688
27,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_8_7_jaw_forward_0.jpg,0.10140448808670044,0.10420463234186172,0.0028001442551612854,8.325242765247822,0.736797571182251
28,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_5_3_mouth_stretch_33.jpg,0.045489177107810974,0.04405812546610832,-0.001431051641702652,7.936051797121763,0.7439880967140198
29,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_14_19_brow_raiser_46.jpg,0.16878949105739594,0.16827097535133362,-0.0005185157060623169,8.53246734291315,0.676127552986145
30,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_3_7_jaw_forward_29.jpg,0.040721211582422256,0.04176676273345947,0.0010455511510372162,8.48010915890336,0.7322047352790833
31,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_5_5_jaw_left_58.jpg,0.6692442297935486,0.6685824990272522,-0.0006617307662963867,6.467292372137308,0.612442135810852
32,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_4_17_cheek_blowing_43.jpg,0.028806380927562714,0.027379890903830528,-0.0014264900237321854,7.682337980717421,0.6356672644615173
33,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_8_20_brow_lower_3.jpg,0.05248168483376503,0.05295094475150108,0.00046925991773605347,8.136720411479473,0.7412060499191284
34,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_14_12_lip_puckerer_44.jpg,0.07058504223823547,0.07298833876848221,0.0024032965302467346,8.697599284350872,0.7072029709815979
35,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_11_13_lip_funneler_14.jpg,0.19385403394699097,0.187189981341362,-0.006664052605628967,8.240640811622143,0.6864526271820068
36,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_11_16_grin_60.jpg,0.04121086746454239,0.034782011061906815,-0.006428856402635574,8.79763643629849,0.7727051973342896
37,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_9_17_cheek_blowing_28.jpg,0.04106773063540459,0.04217704012989998,0.0011093094944953918,7.687245197594166,0.6613612771034241
