baseline_mean,baseline_trimmed,corrected_mean,corrected_trimmed,loss,loss_lmk,loss_percept,loss_res,loss_teacher_cam,loss_teacher_lmk,step
0.1386371267354116,0.10926707117921776,0.1543827702756971,0.12505844519991013,0.41111499071121216,0.14138822257518768,0.4130837917327881,0.12486405670642853,0.0012013849336653948,0.03850381448864937,0
,,,,0.4070410132408142,0.16501343250274658,0.36124187707901,0.11803825199604034,0.000795575964730233,0.031077153980731964,1
,,,,0.47754472494125366,0.22287452220916748,0.3994661271572113,0.10835415869951248,0.0004943235544487834,0.01745777577161789,2
,,,,0.45980343222618103,0.2134772390127182,0.40195679664611816,0.10912927240133286,0.00042552416562102735,0.010529055260121822,3
,,,,0.3401869535446167,0.1323513388633728,0.3686019778251648,0.10223973542451859,0.0002868974406737834,0.004634831100702286,4
,,,,0.262626051902771,0.056686654686927795,0.40355220437049866,0.10054973512887955,0.00018341554095968604,0.0025805048644542694,5
,,,,0.3244348466396332,0.12600304186344147,0.3530981242656708,0.09732435643672943,0.00017868538270704448,0.004088535904884338,6
,,,,0.39369499683380127,0.16498620808124542,0.3893870711326599,0.0918826088309288,0.0002268704556627199,0.010148168541491032,7
,,,,0.3255319595336914,0.09223750233650208,0.4299282133579254,0.09280343353748322,0.00019369092478882521,0.010893348604440689,8
,,,,0.4620766341686249,0.22118346393108368,0.4121473729610443,0.0847833976149559,0.0001390177058055997,0.002389429369941354,9
,,,,0.40342989563941956,0.19277140498161316,0.3614276647567749,0.08121822029352188,0.00012151154805906117,0.0011518134269863367,10
,,,,0.3233396112918854,0.10804077982902527,0.40616554021835327,0.07929710298776627,0.00012270495062693954,0.002648057183250785,11
,,,,0.24500618875026703,0.06038125231862068,0.3588334619998932,0.07673577964305878,0.0001138431834988296,0.0030288624111562967,12
,,,,0.29794684052467346,0.09358232468366623,0.3864099383354187,0.07518266141414642,0.00013529951684176922,0.0037855887785553932,13
,,,,0.6194733381271362,0.34679535031318665,0.424010694026947,0.07193799316883087,0.00012590587721206248,0.004767924547195435,14
,,,,0.332959920167923,0.10843411087989807,0.42362719774246216,0.0699940025806427,0.00010319067951058969,0.004677652847021818,15
,,,,0.370813250541687,0.16249673068523407,0.3659076690673828,0.06846588850021362,7.191294571384788e-05,0.0038809040561318398,16
,,,,0.2839090824127197,0.08717186003923416,0.37820589542388916,0.06367769837379456,7.035389717202634e-05,0.0024547444190829992,17
,,,,0.2894028127193451,0.07350590080022812,0.43044281005859375,0.06121469661593437,3.322620614198968e-05,0.0012318877270445228,18
,,,,0.2780757546424866,0.08401233702898026,0.3756431043148041,0.05844802409410477,4.1223305743187666e-05,0.0021381808910518885,19
,,,,0.2162708044052124,0.03966865688562393,0.356952428817749,0.05654043331742287,3.548904714989476e-05,0.0021495430264621973,20
,,,,0.2719935178756714,0.06855196505784988,0.4061448872089386,0.05455327406525612,2.7731373847927898e-05,0.001358188921585679,21
,,,,0.4090074896812439,0.18176783621311188,0.4102690517902374,0.05144292488694191,1.2771178262482863e-05,0.0010118561331182718,22
,,,,0.4325507581233978,0.17777636647224426,0.4747929871082306,0.04957273229956627,1.082190101442393e-05,0.0005440952372737229,23
,,,,0.3909015655517578,0.17042358219623566,0.4000077545642853,0.0486927293241024,2.58683485299116e-05,0.0013681577984243631,24
,,,,0.4858134388923645,0.22395750880241394,0.4682556390762329,0.046515535563230515,1.896451249194797e-05,0.0015331526519730687,25
,,,,0.2529136836528778,0.06300731003284454,0.37953269481658936,0.043871957808732986,1.76661997102201e-05,0.001924919313751161,26
,,,,0.38932666182518005,0.13603734970092773,0.48883765935897827,0.04325290396809578,1.916910332511179e-05,0.0016073411097750068,27
,,,,0.485607773065567,0.26098448038101196,0.36870771646499634,0.03981476277112961,3.214053504052572e-05,0.002279231557622552,28
,,,,0.24392348527908325,0.05714312195777893,0.37356510758399963,0.039846159517765045,4.580911627272144e-05,0.0029412254225462675,29
,,,,0.24669696390628815,0.05275115743279457,0.39535245299339294,0.03905247151851654,1.6979543943307362e-05,0.0014286694349721074,30
,,,,0.27348247170448303,0.08093902468681335,0.38097941875457764,0.03770626708865166,1.9164666809956543e-05,0.0010298053966835141,31
,,,,0.3523009717464447,0.12049074470996857,0.4483410120010376,0.036614350974559784,1.7368944099871442e-05,0.0020788763649761677,32
,,,,0.2911106050014496,0.07721415907144547,0.4290267825126648,0.03397626802325249,1.987190989893861e-05,0.0018018486443907022,33
,,,,0.20319482684135437,0.05091853067278862,0.30099907517433167,0.03383304923772812,3.4174066968262196e-05,0.0029447395354509354,34
,,,,0.27437645196914673,0.08134754747152328,0.37859609723091125,0.03327839449048042,4.26901679020375e-05,0.0027615528088063,35
,,,,0.3561412990093231,0.16195541620254517,0.3477880656719208,0.030188610777258873,1.9326229448779486e-05,0.002054292941465974,36
