idx,image_path,baseline_lmk_err,finetuned_lmk_err,lmk_err_delta_ft_minus_base,finetuned_cam_score,finetuned_lmk_abs_max,baseline_photo_l1,finetuned_photo_l1,baseline_runtime_ms,finetuned_runtime_ms,landmark_target_source,is_failure,hybrid_selective_fallback
0,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_11_1_neutral_25.jpg,0.039628639817237854,15.944907188415527,15.90527854859829,88.1414253860712,18.312984466552734,0.5376215577125549,0.5376215577125549,nan,nan,real_npy,1,1
1,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_16_6_jaw_right_42.jpg,0.08873527497053146,0.09229818731546402,0.003562912344932556,7.165024623274803,0.6700601577758789,0.44511547684669495,0.44511547684669495,nan,nan,real_npy,0,1
2,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_7_2_smile_1.jpg,0.05355927720665932,0.05199752748012543,-0.0015617497265338898,8.338431544601917,0.7112389802932739,0.42115887999534607,0.42115887999534607,nan,nan,real_npy,0,1
3,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_7_2_smile_35.jpg,0.047119949012994766,0.14058974385261536,0.09346979483962059,9.192431442439556,0.8369151949882507,0.4215160310268402,0.4215160310268402,nan,nan,real_npy,0,1
4,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_17_9_mouth_right_9.jpg,0.05628632754087448,0.05903586372733116,0.0027495361864566803,8.604556931182742,0.6793840527534485,0.3694095313549042,0.3694095313549042,nan,nan,real_npy,0,1
5,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_4_18_eye_closed_19.jpg,0.04529733210802078,0.04666092246770859,0.0013635903596878052,9.1806153440848,0.7429308891296387,0.2790377140045166,0.2790377140045166,22.895142000010082,21.3577940000107,real_npy,0,1
6,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_8_17_cheek_blowing_52.jpg,0.2129911333322525,0.21133823692798615,-0.0016528964042663574,6.335838966071606,0.6104710102081299,0.37326133251190186,0.37326133251190186,37.37778799998637,72.96644000001606,real_npy,0,0
7,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_19_15_lip_roll_49.jpg,0.7413728833198547,0.74113529920578,-0.00023758411407470703,8.648582890629768,0.7123781442642212,0.37162894010543823,0.37162894010543823,23.5242059999905,25.206604000004518,real_npy,0,1
8,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_7_5_jaw_left_47.jpg,0.0663360133767128,0.08263524621725082,0.016299232840538025,9.55563229881227,0.8220611214637756,0.4808140993118286,0.4808140993118286,27.444298999995453,23.793107000017244,real_npy,0,1
9,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_2_20_brow_lower_7.jpg,0.22603239119052887,0.19019368290901184,-0.03583870828151703,8.81253595650196,0.72031170129776,0.37762635946273804,0.37762635946273804,23.80052899999896,31.005696000022454,real_npy,0,1
